Realization	utility	week	infra.
686	0	1878	4
687	0	1252	4
687	0	1513	8
691	0	2087	4
692	0	1982	4
692	0	2243	8
694	0	1200	8
694	0	1513	10
694	0	1826	4
694	0	2139	9
695	0	1930	4
695	0	2191	8
699	0	887	8
699	0	1565	4
699	0	1878	10
699	0	2191	9
700	0	1930	4
700	0	2191	8
701	0	1356	4
701	0	1617	8
701	0	1930	10
701	0	2243	9
702	0	1356	4
702	0	1617	8
702	0	1930	10
702	0	2243	9
704	0	1878	4
704	0	2139	8
705	0	1095	8
705	0	2087	4
707	0	1617	4
707	0	1878	8
708	0	2243	4
711	0	1774	4
711	0	2035	8
712	0	1200	8
715	0	1252	4
715	0	1513	8
715	0	2139	10
716	0	1565	4
716	0	1826	8
717	0	1095	4
717	0	1356	8
717	0	1669	10
717	0	1982	9
719	0	1565	4
719	0	1826	8
720	0	1565	4
720	0	1826	8
722	0	1252	4
722	0	1513	8
722	0	1826	10
722	0	2139	9
725	0	1722	4
725	0	1982	8
726	0	1930	4
728	0	626	8
728	0	1200	10
728	0	1513	4
728	0	1826	9
729	0	2035	4
729	0	2295	8
731	0	1669	4
731	0	1930	8
732	0	1304	4
732	0	1565	8
732	0	1878	10
732	0	2191	9
734	0	1565	4
734	0	1826	8
735	0	1356	4
735	0	1617	8
736	0	1930	4
736	0	2191	8
737	0	1513	4
737	0	1774	8
739	0	1982	4
739	0	2243	8
740	0	1304	8
742	0	939	8
742	0	1669	4
742	0	1982	10
742	0	2295	9
743	0	1930	4
743	0	2191	8
746	0	1408	4
746	0	1669	8
746	0	1982	10
746	0	2295	9
751	0	1722	4
751	0	1982	8
751	0	2295	10
752	0	1617	4
752	0	1878	8
756	0	2139	4
757	0	2295	4
758	0	782	8
758	0	1356	4
758	0	1669	10
758	0	1982	9
759	0	1565	4
759	0	1826	8
759	0	2243	10
760	0	1930	4
760	0	2191	8
761	0	1669	4
761	0	1930	8
761	0	2243	10
763	0	1252	8
763	0	1722	4
763	0	2035	10
765	0	939	8
765	0	1304	10
765	0	1617	4
765	0	1930	9
766	0	1304	8
766	0	2191	4
767	0	2191	4
768	0	1252	4
768	0	1513	8
769	0	1669	4
769	0	1930	8
770	0	626	8
770	0	991	10
770	0	1304	9
770	0	1617	4
772	0	1513	4
772	0	1774	8
772	0	2087	10
773	0	2087	4
775	0	939	8
775	0	1669	4
775	0	2035	10
778	0	1878	4
778	0	2139	8
780	0	2243	4
784	0	991	4
784	0	1252	8
784	0	1565	10
784	0	1878	9
786	0	1304	4
786	0	1565	8
787	0	1565	4
787	0	1826	8
788	0	1252	8
788	0	1565	4
788	0	1878	10
788	0	2191	9
789	0	887	8
789	0	1461	4
789	0	1774	10
789	0	2087	9
791	0	1304	8
793	0	1408	4
793	0	1669	8
794	0	1982	4
796	0	1774	4
796	0	2035	8
798	0	1252	4
798	0	1513	8
798	0	1826	10
798	0	2139	9
799	0	1826	4
799	0	2139	8
800	0	1930	4
800	0	2191	8
802	0	1565	4
802	0	1826	8
802	0	2139	10
803	0	1878	4
803	0	2139	8
804	0	1669	4
804	0	1930	8
807	0	1461	4
807	0	1722	8
809	0	1617	4
809	0	1878	8
812	0	2035	4
816	0	1304	8
817	0	1461	4
817	0	1722	8
819	0	2295	4
822	0	1095	8
822	0	1669	4
822	0	1982	10
822	0	2295	9
824	0	1930	4
824	0	2191	8
825	0	1878	4
825	0	2139	8
828	0	1617	4
828	0	1878	8
828	0	2191	10
829	0	2295	4
830	0	2087	4
831	0	1252	8
831	0	1774	4
831	0	2087	10
832	0	1669	4
832	0	1930	8
833	0	1461	4
833	0	1722	8
835	0	1356	8
835	0	2087	4
837	0	1930	4
837	0	2191	8
844	0	1356	4
844	0	1617	8
845	0	1148	8
845	0	1513	4
845	0	1826	10
845	0	2139	9
846	0	1617	4
846	0	1878	8
847	0	1617	4
847	0	1878	8
848	0	1617	4
848	0	1982	8
850	0	1461	4
850	0	1722	8
850	0	2035	10
852	0	1408	4
852	0	1669	8
853	0	1722	4
853	0	1982	8
853	0	2295	10
854	0	2035	4
855	0	1043	8
855	0	1461	4
855	0	1774	10
855	0	2087	9
859	0	2035	4
859	0	2295	8
860	0	1043	4
860	0	1304	8
860	0	1774	10
860	0	2087	9
861	0	1095	8
861	0	2139	4
862	0	2035	4
862	0	2295	8
864	0	1513	4
864	0	1774	8
866	0	1304	4
866	0	1565	8
866	0	1982	10
866	0	2295	9
867	0	1513	4
867	0	1774	8
867	0	2087	10
868	0	2191	4
870	0	1200	8
871	0	1878	4
871	0	2139	8
872	0	1930	4
872	0	2191	8
874	0	1356	4
874	0	1617	8
874	0	2087	10
878	0	1982	4
878	0	2243	8
879	0	1043	8
879	0	1461	10
879	0	1774	4
879	0	2087	9
880	0	1408	4
880	0	1669	8
880	0	2035	10
882	0	730	8
882	0	1461	4
882	0	1774	10
882	0	2087	9
887	0	1617	4
887	0	1878	8
888	0	1252	4
888	0	1513	8
888	0	2087	10
889	0	782	8
889	0	1304	10
889	0	1617	4
889	0	1930	9
891	0	1565	4
891	0	1826	8
891	0	2139	10
892	0	1200	8
894	0	1565	4
894	0	1826	8
897	0	939	8
897	0	1461	4
897	0	1774	10
897	0	2087	9
898	0	939	8
898	0	1408	4
898	0	1722	10
898	0	2035	9
900	0	2295	4
901	0	1408	4
901	0	1669	8
901	0	1982	10
901	0	2295	9
907	0	1669	4
907	0	1930	8
910	0	1408	4
910	0	1669	8
910	0	1982	10
910	0	2295	9
912	0	1669	4
912	0	1930	8
912	0	2243	10
913	0	1669	4
913	0	1930	8
919	0	626	8
919	0	991	10
919	0	1304	9
919	0	1617	4
920	0	1148	8
923	0	1982	4
926	0	1043	8
926	0	1565	4
926	0	1878	10
926	0	2191	9
928	0	1982	4
928	0	2243	8
929	0	1356	8
932	0	1722	4
932	0	2035	8
933	0	1774	4
933	0	2035	8
935	0	1095	4
935	0	1356	8
935	0	1982	10
937	0	1878	4
937	0	2295	8
940	0	2191	4
942	0	1148	8
942	0	2295	4
946	0	1669	4
946	0	1930	8
948	0	1669	4
948	0	1930	8
949	0	2139	4
950	0	991	8
950	0	1304	10
950	0	1617	4
950	0	1930	9
951	0	991	8
951	0	1304	4
951	0	1617	10
951	0	1930	9
952	0	1617	4
952	0	1878	8
953	0	2035	4
953	0	2295	8
954	0	2191	4
956	0	1513	4
956	0	1774	8
956	0	2139	10
958	0	1722	4
958	0	2087	8
959	0	1878	4
959	0	2139	8
962	0	1200	8
963	0	1826	4
963	0	2087	8
966	0	2191	4
967	0	1669	4
967	0	1982	8
968	0	1095	8
968	0	1408	4
968	0	1722	10
968	0	2035	9
970	0	939	8
970	0	1304	4
970	0	1617	10
970	0	1930	9
974	0	1252	4
974	0	1513	8
975	0	1148	8
979	0	1774	4
979	0	2035	8
980	0	1304	8
981	0	1513	4
981	0	1774	8
981	0	2087	10
982	0	1930	4
982	0	2191	8
983	0	2087	4
985	0	1461	4
985	0	1774	8
986	0	1408	4
986	0	1669	8
986	0	1982	10
986	0	2295	9
987	0	782	8
987	0	1408	10
987	0	1722	4
987	0	2035	9
988	0	1200	8
988	0	1826	4
988	0	2139	10
990	0	1774	4
990	0	2035	8
991	0	1617	4
991	0	1878	8
991	0	2191	10
993	0	939	8
993	0	1304	4
993	0	1617	10
993	0	1930	9
995	0	1565	4
995	0	1826	8
995	0	2191	10
998	0	1774	4
998	0	2035	8
0	1	1669	5
1	1	1930	5
2	1	1565	5
3	1	1774	5
4	1	1095	11
4	1	1356	5
7	1	1669	5
8	1	1669	5
9	1	1826	5
10	1	1669	5
11	1	1722	5
12	1	1826	5
13	1	1826	5
14	1	1617	5
15	1	1252	5
16	1	1513	5
17	1	2191	5
18	1	1513	5
20	1	1565	5
21	1	1200	11
21	1	1461	5
24	1	2295	5
28	1	2243	5
29	1	1461	5
30	1	1461	11
30	1	1722	5
33	1	2243	5
34	1	1617	5
35	1	1200	11
35	1	1461	5
36	1	1148	5
38	1	2139	5
41	1	1617	5
42	1	2087	5
43	1	1669	5
45	1	1461	5
46	1	1982	5
47	1	1617	5
48	1	1461	5
50	1	2295	5
51	1	1617	5
52	1	1356	5
55	1	2243	5
56	1	991	11
56	1	1252	5
58	1	1461	5
59	1	2087	5
60	1	1617	5
61	1	1669	5
63	1	1930	5
64	1	1982	5
65	1	1565	5
66	1	1252	11
66	1	1513	5
67	1	1565	5
71	1	939	11
71	1	1200	5
72	1	1200	5
74	1	1304	5
75	1	2191	5
76	1	1982	5
77	1	1617	5
82	1	1513	5
84	1	1095	11
84	1	1356	5
87	1	1617	5
88	1	2295	5
89	1	1930	5
90	1	2035	5
91	1	1408	5
91	1	2295	11
92	1	1304	11
92	1	1565	5
93	1	626	11
93	1	991	5
94	1	1252	5
95	1	991	11
95	1	1252	5
99	1	1513	5
100	1	1982	5
104	1	1774	5
105	1	2035	5
108	1	1252	11
108	1	1565	5
109	1	1565	5
110	1	1513	5
111	1	2243	5
113	1	1043	11
113	1	1304	5
115	1	1200	11
115	1	1461	5
116	1	1930	5
119	1	782	11
119	1	1043	5
120	1	1930	5
121	1	1513	5
122	1	1722	5
125	1	1408	5
126	1	2243	5
128	1	2295	5
131	1	1408	11
131	1	1669	5
136	1	1982	5
137	1	1200	11
137	1	1461	5
138	1	2243	5
139	1	1878	5
140	1	1617	5
141	1	1356	11
141	1	1617	5
142	1	1408	5
143	1	1669	5
144	1	1669	5
148	1	1930	5
149	1	1669	5
150	1	2191	5
151	1	2139	5
152	1	1304	5
153	1	1722	5
158	1	1617	5
160	1	1617	5
162	1	2243	5
165	1	1774	5
166	1	1043	11
166	1	1461	5
167	1	1513	5
169	1	1461	5
171	1	2087	5
175	1	1826	5
176	1	1513	5
178	1	1304	11
178	1	1565	5
179	1	1669	5
182	1	1513	5
183	1	2243	5
184	1	1930	5
185	1	2295	5
187	1	1148	11
187	1	1408	5
188	1	1722	5
190	1	2035	5
192	1	1669	5
194	1	1617	5
195	1	1408	5
199	1	2035	5
201	1	1461	5
201	1	1982	11
202	1	1148	11
202	1	1408	5
204	1	1617	5
205	1	1513	5
206	1	1982	5
207	1	1461	5
210	1	1565	5
211	1	1513	5
213	1	1982	5
216	1	1617	5
219	1	1408	5
220	1	1461	5
221	1	2087	5
222	1	1356	11
222	1	1617	5
226	1	1043	5
227	1	1513	5
228	1	1565	5
