Realization	utility	week	infra.
763	0	1200	8
763	0	1565	4
763	0	1826	9
763	0	2087	10
765	0	991	8
765	0	1252	9
765	0	1513	10
765	0	1722	4
766	0	1356	8
766	0	1669	4
766	0	1930	9
766	0	2191	10
767	0	2191	4
768	0	1252	4
768	0	1565	8
769	0	1669	4
769	0	1982	8
770	0	678	8
770	0	939	9
770	0	1200	10
770	0	1513	4
772	0	1408	4
772	0	1722	8
772	0	1982	9
772	0	2243	10
773	0	2087	4
775	0	991	8
775	0	1669	4
775	0	1930	9
775	0	2191	10
778	0	1878	4
778	0	2191	8
780	0	2087	4
783	0	1878	4
783	0	2295	8
784	0	939	4
784	0	1252	8
784	0	1513	9
784	0	1774	10
786	0	1304	4
786	0	1617	8
787	0	1565	4
787	0	1878	8
788	0	1304	8
788	0	1617	4
788	0	1878	9
788	0	2139	10
789	0	939	8
789	0	1461	4
789	0	1722	9
789	0	1982	10
791	0	1200	8
793	0	1356	4
793	0	1669	8
794	0	1982	4
794	0	2295	8
795	0	2035	4
796	0	1774	4
796	0	2087	8
798	0	1252	4
798	0	1565	8
798	0	1826	9
798	0	2087	10
799	0	1617	4
799	0	1930	8
800	0	1669	4
800	0	1982	8
802	0	1565	4
802	0	1878	8
802	0	2139	9
803	0	1878	4
803	0	2191	8
804	0	1669	4
804	0	1982	8
807	0	1356	8
809	0	1617	4
809	0	1930	8
812	0	2035	4
816	0	1356	8
816	0	2191	4
817	0	1461	4
817	0	1774	8
817	0	2087	9
819	0	2295	4
822	0	1148	8
822	0	1669	4
822	0	1930	9
822	0	2191	10
824	0	1930	4
824	0	2243	8
825	0	1878	4
825	0	2191	8
828	0	1513	4
828	0	1826	8
828	0	2087	9
829	0	2295	4
830	0	2087	4
831	0	1304	8
831	0	1722	4
831	0	1982	9
831	0	2243	10
832	0	1617	4
832	0	1930	8
833	0	1461	4
833	0	1774	8
835	0	1356	8
835	0	1826	4
835	0	2087	9
837	0	1930	4
837	0	2243	8
842	0	1982	4
844	0	1304	4
844	0	1617	8
844	0	2243	9
845	0	1200	8
845	0	1461	4
845	0	1722	9
845	0	1982	10
846	0	1513	4
846	0	1826	8
847	0	1617	4
847	0	1930	8
848	0	1565	4
848	0	1878	8
850	0	1461	4
850	0	1774	8
850	0	2035	9
850	0	2295	10
852	0	1408	4
852	0	1722	8
853	0	1722	4
853	0	2035	8
853	0	2295	9
854	0	2035	4
855	0	991	8
855	0	1461	4
855	0	1722	9
855	0	1982	10
859	0	2035	4
860	0	1043	4
860	0	1356	8
860	0	1722	9
860	0	1982	10
861	0	1043	8
861	0	1982	4
861	0	2295	9
862	0	2035	4
864	0	1513	4
864	0	1826	8
864	0	2087	9
865	0	2035	4
866	0	1304	4
866	0	1617	8
866	0	1930	9
866	0	2191	10
